transaccion_id,fecha,cuenta_id,tipo_transaccion,monto,canal,moneda
1,2025-04-03,1018,Transferencia,7521.84,Web,ARS
2,2025-06-19,1065,Depósito,9943.55,Cajero,CLP
3,2026-08-03,1021,Retiro,8499.7,Cajero,USD
4,2026-05-15,1062,Pago,615.89,Cajero,MXN
5,2025-07-31,1034,Pago,3517.94,Sucursal,CLP
6,2025-02-10,1061,Transferencia,13224.46,Sucursal,MXN
7,2025-09-27,1067,Pago,12524.74,Cajero,CLP
8,2025-03-21,1049,Pago,8819.31,Sucursal,CLP
9,2025-12-20,1029,Compra,6093.57,Web,CLP
10,2025-05-23,1078,Depósito,7532.54,Web,COP
11,2025-10-15,1030,Depósito,7722.97,Cajero,COP
12,2025-05-02,1024,Retiro,5439.72,Cajero,CLP
13,2026-05-06,1043,Depósito,7227.93,Web,COP
14,2026-02-25,1076,Retiro,9712.42,App móvil,COP
15,2025-06-14,1006,Retiro,8606.56,Cajero,USD
16,2025-05-31,1066,Depósito,13363.06,App móvil,COP
17,2026-02-20,1034,Retiro,7754.44,App móvil,USD
18,2026-04-28,1037,Depósito,3256.74,Web,COP
19,2026-08-20,1029,Transferencia,9016.57,Cajero,PEN
20,2025-12-17,1066,Pago,2524.15,Web,PEN
21,2026-01-30,1076,Depósito,3454.91,Cajero,MXN
22,2026-06-01,1003,Retiro,7845.44,Web,COP
23,2025-02-09,1078,Depósito,2669.56,App móvil,MXN
24,2026-07-07,1062,Retiro,13530.75,App móvil,USD
25,2025-02-14,1056,Compra,6316.05,Web,COP
26,2026-08-13,1062,Transferencia,5264.26,App móvil,CLP
27,2025-08-27,1018,Pago,7162.35,App móvil,ARS
28,2025-07-13,1077,Compra,6135.61,App móvil,USD
29,2026-06-17,1001,Compra,7842.88,App móvil,CLP
30,2025-04-20,1027,Pago,6138.59,Cajero,CLP
31,2026-07-03,1075,Pago,3926.93,Web,PEN
32,2026-02-11,1047,Compra,4140.65,Cajero,CLP
33,2026-01-15,1071,Compra,7242.19,Web,ARS
34,2026-02-12,1040,Compra,5171.9,Cajero,USD
35,2025-06-15,1016,Retiro,6704.46,App móvil,COP
36,2026-07-18,1066,Transferencia,11793.36,App móvil,COP
37,2025-05-29,1050,Depósito,12067.5,Web,PEN
38,2025-08-16,1056,Depósito,970.57,Sucursal,MXN
39,2026-02-15,1078,Depósito,10870.18,Sucursal,USD
40,2025-06-29,1077,Depósito,14186.28,Web,CLP
41,2026-06-15,1002,Retiro,12760.01,Sucursal,COP
42,2025-08-26,1005,Compra,7663.11,Cajero,USD
43,2025-01-01,1005,Pago,3596.46,Cajero,MXN
44,2026-02-09,1036,Transferencia,5303.38,Web,PEN
45,2025-03-12,1026,Compra,240.34,App móvil,PEN
46,2025-12-23,1037,Compra,13725.98,Sucursal,ARS
47,2026-04-11,1029,Compra,14446.23,Web,PEN
48,2026-06-03,1001,Pago,2633.77,App móvil,PEN
49,2025-04-30,1010,Compra,4420.83,Sucursal,PEN
50,2026-01-22,1074,Pago,10415.94,Web,COP
51,2026-08-24,1044,Transferencia,10227.1,App móvil,CLP
52,2025-08-14,1015,Pago,1022.64,Cajero,ARS
53,2025-01-10,1053,Pago,7752.4,Sucursal,COP
54,2025-12-17,1037,Depósito,5989.97,App móvil,PEN
55,2025-08-12,1023,Transferencia,4714.95,Sucursal,COP
56,2025-08-29,1025,Transferencia,11059.31,Cajero,ARS
57,2025-09-13,1027,Retiro,3049.47,Sucursal,COP
58,2026-05-20,1014,Depósito,13803.62,App móvil,PEN
59,2025-11-19,1006,Transferencia,5574.24,Web,PEN
60,2026-06-08,1036,Transferencia,2751.25,Sucursal,CLP
61,2026-06-23,1029,Compra,1932.41,Web,CLP
62,2026-02-08,1070,Depósito,7542.1,Cajero,CLP
63,2025-01-09,1016,Compra,6906.46,App móvil,USD
64,2025-11-30,1027,Transferencia,8719.31,Sucursal,PEN
65,2025-08-31,1034,Retiro,8232.97,Sucursal,CLP
66,2026-05-26,1079,Pago,5495.2,Web,COP
67,2026-02-15,1054,Pago,5482.52,Sucursal,CLP
68,2026-08-13,1024,Compra,1975.78,Cajero,MXN
69,2026-01-26,1035,Retiro,8334.55,Cajero,COP
70,2025-06-30,1020,Transferencia,12086.97,Web,CLP
71,2025-11-20,1018,Compra,8014.4,Web,ARS
72,2025-02-18,1033,Compra,12878.94,Web,MXN
73,2025-09-18,1021,Depósito,3239.86,Web,USD
74,2025-09-24,1013,Transferencia,11171.45,Sucursal,ARS
75,2025-09-21,1072,Compra,13978.35,Sucursal,MXN
76,2025-07-23,1053,Depósito,5272.85,Cajero,ARS
77,2026-05-15,1046,Pago,10101.16,Web,MXN
78,2025-05-29,1049,Compra,4304.99,Cajero,USD
79,2026-08-09,1044,Transferencia,9472.79,Web,MXN
80,2025-11-18,1011,Retiro,5160.95,Sucursal,USD
81,2026-02-09,1038,Pago,9084.72,Sucursal,CLP
82,2026-04-07,1047,Compra,7818.83,Web,COP
83,2025-08-29,1024,Depósito,1884.35,Sucursal,USD
84,2025-04-16,1011,Retiro,2511.99,App móvil,MXN
85,2026-02-11,1061,Compra,816.84,App móvil,MXN
86,2026-02-04,1034,Compra,2337.56,Sucursal,COP
87,2025-05-10,1032,Pago,6652.97,Cajero,PEN
88,2026-01-01,1022,Depósito,536.97,Sucursal,CLP
89,2026-07-16,1060,Compra,14023.51,Web,COP
90,2026-04-13,1070,Retiro,8866.56,Web,PEN
91,2026-05-09,1069,Pago,13634.76,Cajero,MXN
92,2025-09-24,1057,Pago,5493.09,Cajero,ARS
93,2025-05-20,1002,Depósito,7854.51,Sucursal,ARS
94,2026-05-19,1061,Compra,134.67,Web,ARS
95,2025-08-25,1002,Transferencia,11971.49,App móvil,PEN
96,2026-07-29,1048,Retiro,6181.92,Web,CLP
97,2026-02-04,1032,Retiro,10726.92,Web,COP
98,2025-09-03,1034,Depósito,6339.37,Sucursal,ARS
99,2025-03-12,1069,Pago,6199.43,Cajero,COP
100,2026-04-09,1038,Depósito,9557.02,Sucursal,USD
101,2025-01-20,1080,Transferencia,2824.96,Cajero,MXN
102,2025-04-15,1069,Depósito,2797.2,Sucursal,ARS
103,2025-08-27,1017,Transferencia,10909.33,App móvil,COP
104,2026-03-07,1002,Transferencia,3265.65,Sucursal,CLP
105,2025-02-02,1048,Transferencia,10457.05,Sucursal,MXN
106,2026-02-06,1019,Depósito,4004.89,App móvil,PEN
107,2025-09-14,1061,Retiro,2890.96,Web,MXN
108,2026-03-30,1016,Retiro,5778.12,Cajero,USD
109,2025-04-07,1005,Retiro,6917.91,Cajero,CLP
110,2025-06-12,1050,Pago,14043.87,App móvil,USD
111,2026-05-08,1071,Compra,1840.9,Sucursal,COP
112,2025-08-12,1047,Depósito,12956.23,App móvil,COP
113,2025-10-10,1056,Pago,235.86,App móvil,CLP
114,2026-08-19,1032,Depósito,14532.84,Web,USD
115,2025-04-02,1077,Retiro,5577.27,Cajero,COP
116,2025-12-13,1064,Depósito,10292.31,App móvil,MXN
117,2025-04-20,1046,Retiro,10522.91,Cajero,CLP
118,2025-12-22,1030,Pago,14725.32,Web,USD
119,2026-01-02,1025,Depósito,10341.86,Cajero,ARS
120,2026-07-27,1006,Transferencia,10602.32,Sucursal,PEN
121,2026-07-11,1063,Retiro,8504.86,Sucursal,ARS
122,2026-07-22,1060,Pago,13016.25,Cajero,MXN
123,2025-09-27,1068,Retiro,6746.27,Sucursal,CLP
124,2025-07-09,1001,Compra,5691.86,App móvil,PEN
125,2025-03-06,1047,Compra,3589.41,Web,COP
126,2025-06-07,1068,Transferencia,11488.35,Sucursal,ARS
127,2026-06-20,1053,Pago,1665.86,App móvil,MXN
128,2025-07-26,1017,Retiro,13103.66,App móvil,CLP
129,2026-02-02,1025,Depósito,486.94,Web,PEN
130,2026-01-11,1080,Compra,3846.52,Cajero,PEN
131,2025-08-02,1010,Depósito,13953.86,Web,MXN
132,2026-03-02,1060,Depósito,5420.28,Sucursal,USD
133,2025-02-11,1008,Compra,3994.58,App móvil,ARS
134,2025-04-10,1010,Retiro,14409.2,App móvil,USD
135,2025-07-17,1030,Compra,5786.11,Cajero,PEN
136,2026-03-02,1023,Compra,11240.42,App móvil,USD
137,2026-03-14,1074,Pago,10120.64,App móvil,COP
138,2025-12-12,1024,Compra,6029.34,Cajero,PEN
139,2025-11-19,1077,Transferencia,14003.46,Sucursal,ARS
140,2025-11-28,1053,Transferencia,12394.06,Cajero,PEN
141,2026-07-18,1070,Retiro,5632.2,Sucursal,ARS
142,2025-01-01,1058,Transferencia,14397.77,App móvil,ARS
143,2025-11-06,1077,Depósito,7768.96,App móvil,ARS
144,2025-01-23,1029,Retiro,12837.25,Sucursal,PEN
145,2026-08-09,1066,Compra,8564.32,Cajero,MXN
146,2025-05-22,1005,Transferencia,5341.28,Sucursal,ARS
147,2025-11-04,1075,Retiro,3502.58,App móvil,PEN
148,2025-03-21,1052,Compra,13769.05,Sucursal,CLP
149,2026-08-14,1023,Transferencia,12387.32,App móvil,PEN
150,2026-08-14,1039,Depósito,10964.53,Web,MXN
151,2026-03-21,1008,Pago,5225.47,Web,MXN
152,2026-01-27,1030,Compra,13930.51,App móvil,ARS
153,2026-08-02,1068,Depósito,4796.55,Cajero,ARS
154,2026-02-07,1065,Retiro,2306.43,Web,PEN
155,2026-03-19,1074,Compra,1360.34,Sucursal,CLP
156,2026-05-03,1019,Retiro,5049.16,App móvil,PEN
157,2026-05-29,1052,Pago,1285.33,Web,USD
158,2025-07-22,1017,Retiro,7219.03,Web,CLP
159,2026-06-21,1074,Retiro,8421.9,Cajero,COP
160,2025-11-28,1010,Pago,11653.81,App móvil,MXN
161,2025-07-15,1053,Transferencia,5485.36,Sucursal,ARS
162,2025-06-23,1077,Depósito,11547.52,Sucursal,PEN
163,2025-02-15,1057,Compra,2195.82,Cajero,COP
164,2025-03-29,1048,Retiro,11368.43,App móvil,USD
165,2025-06-01,1007,Retiro,14234.62,Sucursal,MXN
166,2026-04-28,1044,Depósito,4583.72,App móvil,ARS
167,2026-07-14,1027,Compra,3186.01,Sucursal,PEN
168,2025-05-25,1062,Compra,10951.55,App móvil,CLP
169,2025-06-24,1075,Compra,661.8,App móvil,ARS
170,2026-04-22,1026,Compra,4076.51,App móvil,MXN
171,2026-01-04,1050,Pago,9948.09,App móvil,MXN
172,2026-01-25,1038,Transferencia,3475.22,App móvil,ARS
173,2025-07-10,1063,Compra,7978.09,Cajero,PEN
174,2025-01-23,1059,Compra,13895.99,App móvil,COP
175,2026-02-07,1068,Pago,5010.21,Cajero,MXN
176,2025-11-06,1045,Pago,5337.12,Cajero,PEN
177,2026-02-01,1036,Depósito,9390.63,App móvil,PEN
178,2026-02-07,1036,Retiro,2284.11,Cajero,MXN
179,2025-08-21,1049,Compra,14409.48,Web,COP
180,2025-11-16,1074,Retiro,6402.71,Sucursal,CLP
181,2025-05-22,1070,Retiro,3109.29,Cajero,COP
182,2026-03-17,1040,Compra,13644.35,Cajero,USD
183,2026-07-25,1073,Retiro,4769.27,App móvil,COP
184,2025-11-23,1041,Retiro,10908.92,Web,CLP
185,2025-10-08,1039,Transferencia,11186.69,Cajero,COP
186,2025-10-01,1014,Retiro,2779.35,Cajero,PEN
187,2026-01-03,1030,Retiro,10313.79,App móvil,USD
188,2026-04-26,1062,Retiro,7539.85,Sucursal,COP
189,2025-06-17,1050,Transferencia,7112.97,Cajero,COP
190,2025-01-16,1005,Transferencia,11470.44,Sucursal,CLP
191,2025-03-09,1029,Retiro,11369.07,Cajero,CLP
192,2026-04-14,1079,Transferencia,10321.06,Cajero,CLP
193,2026-01-25,1052,Depósito,9122.87,Sucursal,CLP
