inscripcion_id,fecha_inscripcion,estudiante_id,curso,nota_final,horas_completadas,estado
1,2025-06-21,7045,Gestión de proyectos,,11,En curso
2,2025-11-16,7084,SQL para datos,,0,En curso
3,2026-01-08,7018,Cloud Computing,,31,Abandonado
4,2026-04-23,7009,Cloud Computing,,33,Abandonado
5,2026-03-13,7068,Marketing digital,,38,En curso
6,2026-08-07,7037,Visualización,,3,Abandonado
7,2025-04-19,7004,Gestión de proyectos,,27,En curso
8,2026-02-16,7058,Visualización,,23,En curso
9,2025-10-31,7047,Machine Learning,,54,Abandonado
10,2025-03-30,7024,Finanzas personales,,9,En curso
11,2025-05-17,7050,Gestión de proyectos,,25,En curso
12,2025-01-09,7047,Finanzas personales,4.8,1,Completado
13,2025-10-09,7085,SQL para datos,3.6,53,Completado
14,2026-01-23,7029,Marketing digital,9.9,55,Completado
15,2025-02-11,7024,Finanzas personales,,49,En curso
16,2026-02-26,7014,Marketing digital,3.0,34,Completado
17,2025-04-13,7077,Finanzas personales,7.7,8,Completado
18,2026-02-22,7069,Machine Learning,3.1,12,Completado
19,2025-04-24,7065,SQL para datos,,22,Abandonado
20,2025-05-27,7085,Machine Learning,4.0,11,Completado
21,2025-06-08,7023,Cloud Computing,,0,Abandonado
22,2026-04-28,7069,Gestión de proyectos,,55,En curso
23,2025-07-17,7020,Gestión de proyectos,,38,Abandonado
24,2025-11-01,7076,Python básico,,0,Abandonado
25,2026-07-22,7035,Cloud Computing,3.3,28,Completado
26,2025-04-15,7078,SQL para datos,4.6,59,Completado
27,2025-01-31,7032,Gestión de proyectos,,12,En curso
28,2025-05-30,7041,Machine Learning,,49,En curso
29,2025-05-15,7083,Python básico,,50,Abandonado
30,2025-05-01,7056,Gestión de proyectos,,31,En curso
31,2026-04-21,7072,Visualización,7.2,1,Completado
32,2025-01-18,7017,SQL para datos,,1,Abandonado
33,2025-12-04,7039,Visualización,7.4,19,Completado
34,2025-12-07,7010,Machine Learning,,50,Abandonado
35,2025-09-26,7066,Cloud Computing,9.5,30,Completado
36,2026-04-11,7072,Cloud Computing,,46,En curso
37,2025-06-29,7081,SQL para datos,6.9,41,Completado
38,2026-07-23,7066,Visualización,,1,Abandonado
39,2026-05-25,7050,Python básico,8.3,43,Completado
40,2026-07-26,7030,SQL para datos,,42,En curso
41,2026-04-01,7019,Cloud Computing,4.6,59,Completado
42,2026-02-17,7031,Python básico,,20,Abandonado
43,2025-11-27,7043,Gestión de proyectos,,58,Abandonado
44,2026-08-09,7064,Cloud Computing,,44,En curso
45,2025-10-12,7003,Machine Learning,,36,Abandonado
46,2026-03-17,7001,Python básico,,44,En curso
47,2025-06-06,7039,Marketing digital,,0,En curso
48,2026-02-02,7049,Gestión de proyectos,8.1,26,Completado
49,2025-10-07,7059,Gestión de proyectos,4.6,28,Completado
50,2025-05-28,7006,Finanzas personales,5.8,26,Completado
51,2026-07-28,7012,SQL para datos,5.9,19,Completado
52,2025-03-01,7076,Machine Learning,,22,Abandonado
53,2025-01-21,7029,Cloud Computing,,12,Abandonado
54,2026-02-13,7062,Machine Learning,,40,Abandonado
55,2025-10-30,7079,Cloud Computing,,19,En curso
56,2025-07-04,7059,Gestión de proyectos,,51,En curso
57,2025-10-16,7002,Machine Learning,,15,Abandonado
58,2025-06-28,7019,Visualización,,19,En curso
59,2025-10-08,7066,SQL para datos,8.4,29,Completado
60,2025-04-24,7017,Gestión de proyectos,,21,En curso
61,2025-04-21,7032,Gestión de proyectos,,34,En curso
62,2026-04-15,7044,Cloud Computing,,54,En curso
63,2026-05-26,7075,Marketing digital,5.7,0,Completado
64,2025-06-18,7021,Gestión de proyectos,,28,En curso
65,2025-08-07,7008,Visualización,10.0,42,Completado
66,2025-12-13,7019,Cloud Computing,,22,Abandonado
67,2025-11-26,7024,Machine Learning,8.9,33,Completado
68,2025-01-21,7050,Machine Learning,3.3,38,Completado
69,2025-07-08,7056,SQL para datos,,28,En curso
70,2025-06-10,7021,Machine Learning,6.4,53,Completado
71,2026-02-22,7017,Finanzas personales,5.1,34,Completado
72,2025-09-04,7023,Machine Learning,5.5,57,Completado
73,2025-08-03,7052,Finanzas personales,,54,En curso
74,2025-08-15,7001,Machine Learning,,52,En curso
75,2025-05-05,7046,Visualización,9.8,37,Completado
76,2025-02-16,7021,Cloud Computing,,34,Abandonado
77,2025-02-16,7046,Marketing digital,4.3,6,Completado
78,2025-02-19,7086,SQL para datos,,36,Abandonado
79,2025-09-07,7031,Visualización,,23,Abandonado
80,2026-05-14,7080,SQL para datos,6.4,38,Completado
81,2025-01-23,7008,Machine Learning,3.4,45,Completado
82,2025-12-16,7075,Marketing digital,,6,Abandonado
83,2025-12-15,7049,Marketing digital,4.3,45,Completado
84,2026-05-20,7087,SQL para datos,,32,En curso
85,2025-11-13,7048,Python básico,,46,En curso
86,2025-05-27,7058,Visualización,,0,Abandonado
87,2025-08-11,7037,Machine Learning,,47,En curso
88,2026-04-25,7030,Finanzas personales,9.7,58,Completado
89,2026-01-21,7069,Cloud Computing,5.0,28,Completado
90,2025-05-02,7037,Cloud Computing,6.1,60,Completado
91,2025-04-17,7046,SQL para datos,7.7,42,Completado
92,2026-03-15,7058,Marketing digital,,45,En curso
93,2025-03-01,7055,Gestión de proyectos,,11,En curso
94,2026-03-05,7085,SQL para datos,,8,En curso
95,2025-06-13,7004,SQL para datos,,52,Abandonado
96,2025-11-25,7090,Finanzas personales,,35,Abandonado
97,2025-03-17,7008,Python básico,,9,En curso
98,2025-04-27,7017,Marketing digital,3.5,30,Completado
99,2026-03-29,7081,Python básico,,24,Abandonado
100,2026-03-14,7081,Visualización,,21,En curso
101,2026-05-13,7032,SQL para datos,4.1,34,Completado
102,2025-06-09,7046,SQL para datos,,55,Abandonado
103,2026-06-14,7018,Cloud Computing,,41,En curso
104,2026-03-01,7066,Visualización,,58,En curso
105,2025-06-05,7064,Cloud Computing,3.6,12,Completado
106,2025-09-08,7003,Finanzas personales,3.2,53,Completado
107,2026-07-05,7044,Machine Learning,7.0,55,Completado
108,2025-03-16,7032,Visualización,,9,Abandonado
109,2025-12-19,7034,Marketing digital,,24,En curso
110,2026-05-06,7079,Cloud Computing,3.9,6,Completado
111,2026-07-22,7063,Visualización,,51,Abandonado
112,2026-02-27,7088,Gestión de proyectos,,36,En curso
113,2025-08-04,7010,Machine Learning,,2,En curso
114,2025-02-01,7013,Marketing digital,8.5,51,Completado
115,2026-02-07,7046,Cloud Computing,7.9,11,Completado
116,2025-08-14,7056,Gestión de proyectos,,4,En curso
117,2025-07-07,7019,Cloud Computing,,20,En curso
118,2025-09-12,7045,Finanzas personales,9.7,60,Completado
119,2026-02-06,7047,Gestión de proyectos,,59,Abandonado
120,2026-04-26,7050,Marketing digital,,16,Abandonado
121,2026-06-08,7068,Cloud Computing,,37,En curso
122,2026-08-15,7055,Cloud Computing,4.2,45,Completado
123,2026-02-21,7048,Machine Learning,3.2,20,Completado
124,2026-08-16,7001,Machine Learning,,36,En curso
125,2026-01-28,7054,Gestión de proyectos,,54,En curso
126,2025-02-25,7015,Marketing digital,8.7,49,Completado
127,2026-03-04,7017,Finanzas personales,,11,En curso
128,2025-01-23,7077,Finanzas personales,8.2,37,Completado
129,2025-10-03,7028,Machine Learning,,4,En curso
130,2025-04-23,7017,Cloud Computing,,27,Abandonado
131,2025-01-05,7085,Machine Learning,,9,En curso
132,2026-05-21,7026,Finanzas personales,,35,En curso
133,2025-01-07,7089,Cloud Computing,,58,Abandonado
134,2026-08-04,7045,Finanzas personales,,54,En curso
135,2025-04-30,7018,Cloud Computing,,44,En curso
136,2025-07-28,7084,Visualización,6.2,41,Completado
137,2025-05-18,7079,SQL para datos,,18,Abandonado
138,2025-05-28,7058,Visualización,,12,Abandonado
139,2025-06-09,7057,Python básico,,59,Abandonado
140,2025-10-04,7073,Gestión de proyectos,,4,Abandonado
141,2026-02-14,7051,Finanzas personales,,0,En curso
142,2025-08-13,7051,Machine Learning,5.8,54,Completado
143,2025-07-25,7067,Python básico,,7,En curso
144,2025-06-05,7009,Python básico,9.2,52,Completado
145,2026-06-15,7007,Cloud Computing,,32,Abandonado
146,2025-09-17,7035,Visualización,5.7,13,Completado
147,2026-04-08,7028,Marketing digital,,1,En curso
148,2026-07-08,7066,Marketing digital,9.6,31,Completado
149,2026-01-26,7082,Python básico,7.9,54,Completado
150,2025-09-17,7043,Cloud Computing,,57,Abandonado
151,2025-05-17,7056,Python básico,,35,Abandonado
152,2025-10-14,7048,Python básico,,7,En curso
153,2026-01-14,7025,SQL para datos,4.8,58,Completado
154,2025-01-01,7073,SQL para datos,5.6,6,Completado
155,2026-02-05,7043,SQL para datos,,30,En curso
156,2025-03-03,7045,Python básico,,13,Abandonado
157,2026-06-06,7068,Python básico,,18,Abandonado
158,2025-03-11,7033,Python básico,,18,Abandonado
159,2025-09-05,7008,SQL para datos,,22,En curso
160,2026-06-06,7052,Gestión de proyectos,,4,En curso
161,2025-07-15,7088,SQL para datos,8.8,17,Completado
162,2025-08-11,7066,Finanzas personales,,19,Abandonado
163,2025-12-27,7059,Python básico,,12,En curso
164,2025-01-13,7006,SQL para datos,,59,Abandonado
165,2025-11-22,7052,Marketing digital,,18,Abandonado
166,2026-04-07,7058,Cloud Computing,6.4,2,Completado
167,2025-02-08,7012,Machine Learning,,56,Abandonado
168,2025-04-16,7060,Marketing digital,,57,Abandonado
169,2026-07-27,7078,Visualización,,30,Abandonado
170,2025-04-20,7090,Gestión de proyectos,6.1,33,Completado
171,2026-06-14,7050,Marketing digital,,7,En curso
172,2026-08-08,7011,Finanzas personales,,52,Abandonado
173,2025-12-31,7050,Visualización,,42,En curso
174,2026-05-03,7026,Python básico,5.9,46,Completado
175,2026-07-04,7042,Visualización,5.3,23,Completado
176,2026-01-01,7025,SQL para datos,,37,En curso
177,2025-12-02,7045,Finanzas personales,,45,En curso
178,2026-01-14,7020,Visualización,,23,Abandonado
179,2026-06-06,7031,Machine Learning,7.0,18,Completado
180,2026-02-14,7021,Machine Learning,,6,En curso
181,2026-05-09,7060,Gestión de proyectos,,35,Abandonado
182,2026-07-07,7006,Cloud Computing,7.8,59,Completado
183,2026-07-16,7055,Finanzas personales,,38,En curso
184,2025-07-27,7027,Python básico,8.7,9,Completado
185,2025-07-29,7066,Machine Learning,,57,En curso
186,2026-01-29,7060,Marketing digital,6.4,37,Completado
187,2025-08-16,7072,Cloud Computing,,20,Abandonado
188,2026-01-15,7009,Python básico,,10,Abandonado
189,2026-01-15,7041,Cloud Computing,9.1,27,Completado
190,2026-07-12,7014,Finanzas personales,3.0,52,Completado
191,2026-08-01,7025,Finanzas personales,6.7,8,Completado
192,2026-04-13,7002,Visualización,,35,Abandonado
193,2026-05-02,7022,Finanzas personales,,29,En curso
194,2026-05-29,7015,Cloud Computing,9.2,8,Completado
195,2026-05-08,7041,Marketing digital,7.9,12,Completado
196,2025-03-04,7001,Python básico,,28,Abandonado
197,2025-05-25,7011,Cloud Computing,3.5,9,Completado
198,2025-10-25,7025,Finanzas personales,,13,En curso
199,2026-05-11,7087,Finanzas personales,5.4,30,Completado
200,2026-03-14,7013,SQL para datos,,43,Abandonado
201,2026-05-02,7075,SQL para datos,,24,Abandonado
202,2026-03-21,7047,Gestión de proyectos,,49,Abandonado
203,2026-04-12,7052,Marketing digital,,18,En curso
204,2026-01-22,7006,Visualización,,12,Abandonado
205,2025-01-17,7037,Python básico,,39,En curso
206,2025-10-16,7047,Machine Learning,4.1,43,Completado
207,2026-01-09,7049,Visualización,,49,Abandonado
208,2025-07-25,7059,Machine Learning,,8,Abandonado
209,2025-03-19,7012,Cloud Computing,,15,Abandonado
