envio_id,fecha_despacho,transportista_id,ciudad_origen,ciudad_destino,peso_kg,costo_envio,estado,dias_transito
1,2026-08-04,326,Ciudad de México,Medellín,497.0,1528.58,En tránsito,8
2,2025-07-01,308,Montevideo,Medellín,38.7,3686.1,Retrasado,3
3,2025-05-16,324,Santiago,Bogotá,496.7,440.32,En tránsito,8
4,2026-04-21,319,Quito,Medellín,93.8,5299.31,Entregado,11
5,2025-07-21,326,San José,Bogotá,454.6,2696.04,Devuelto,7
6,2025-08-09,304,Córdoba,Quito,568.6,1855.77,Entregado,14
7,2025-07-19,328,Bogotá,Medellín,559.7,3838.8,Devuelto,1
8,2025-10-05,309,Guadalajara,Quito,468.2,1125.07,Devuelto,17
9,2025-09-28,310,San José,Lima,824.0,1554.21,Retrasado,18
10,2026-03-27,317,Lima,San José,106.3,4559.14,En tránsito,16
11,2026-04-27,301,Monterrey,Córdoba,471.3,1138.47,Devuelto,10
12,2026-07-06,304,Medellín,Monterrey,781.5,1226.09,Entregado,8
13,2025-11-09,307,Lima,Córdoba,304.4,3219.97,Entregado,10
14,2026-08-08,330,Quito,Santiago,638.5,1996.69,En tránsito,13
15,2025-06-10,326,Buenos Aires,Montevideo,309.7,3137.48,Devuelto,14
16,2025-08-23,325,Montevideo,Lima,886.2,2874.13,Retrasado,12
17,2025-12-29,305,Lima,Monterrey,787.9,1946.85,Retrasado,14
18,2025-01-06,319,Guadalajara,Montevideo,724.2,2472.16,Devuelto,12
19,2025-10-08,321,Buenos Aires,Medellín,19.0,4249.69,En tránsito,9
20,2025-11-26,310,Monterrey,Ciudad de México,406.4,2343.85,En tránsito,7
21,2025-10-08,320,Córdoba,Medellín,101.9,1519.38,Retrasado,16
22,2025-02-17,324,Quito,Medellín,742.3,2389.17,Devuelto,8
23,2026-01-20,309,Quito,Montevideo,56.8,412.2,Retrasado,9
24,2025-10-19,318,Monterrey,Medellín,105.9,874.97,Entregado,11
25,2025-06-05,325,Montevideo,Guadalajara,830.3,3571.67,En tránsito,18
26,2025-12-02,303,Medellín,Santiago,544.3,4595.7,Retrasado,18
27,2025-05-24,317,Lima,Ciudad de México,733.6,482.58,Retrasado,12
28,2025-07-08,329,Medellín,Santiago,305.5,1427.88,Retrasado,11
29,2025-09-19,307,San José,Lima,573.6,5601.47,En tránsito,4
30,2026-02-10,321,Guadalajara,Montevideo,765.9,4804.73,Entregado,17
31,2026-03-24,312,Ciudad de México,Quito,945.9,5761.95,Retrasado,18
32,2025-12-08,316,Lima,Quito,602.8,4427.85,Entregado,18
33,2025-06-12,325,Bogotá,Córdoba,758.8,5090.09,Entregado,15
34,2025-03-16,320,San José,Santiago,728.9,2631.2,Retrasado,15
35,2025-12-05,315,Montevideo,Buenos Aires,69.8,3915.21,Retrasado,15
36,2025-01-22,317,Montevideo,Guadalajara,381.7,1819.38,Devuelto,1
37,2026-03-14,301,Santiago,Monterrey,143.4,5145.0,Retrasado,18
38,2025-07-25,315,San José,Montevideo,731.5,3480.68,Retrasado,5
39,2025-11-12,307,Buenos Aires,Santiago,172.9,235.25,Entregado,5
40,2025-12-02,318,Monterrey,Bogotá,827.1,5576.52,En tránsito,7
41,2025-10-05,310,Buenos Aires,Guadalajara,221.7,5525.68,Retrasado,1
42,2026-01-20,305,Medellín,Bogotá,24.6,5215.79,En tránsito,13
43,2026-02-13,302,Medellín,Montevideo,189.1,4644.22,Entregado,3
44,2026-06-13,306,Córdoba,Quito,116.1,4559.11,Entregado,16
45,2025-11-21,324,Quito,Monterrey,394.7,1325.14,Entregado,17
46,2026-06-05,312,Medellín,Lima,106.8,2785.17,Entregado,13
47,2025-04-13,326,Guadalajara,Montevideo,337.3,5678.73,Entregado,14
48,2025-08-23,328,San José,Lima,949.7,579.95,Devuelto,16
49,2025-11-28,301,Lima,San José,43.6,5096.7,En tránsito,1
50,2025-05-24,305,Córdoba,Buenos Aires,660.5,4592.74,Entregado,7
51,2025-10-28,328,Montevideo,San José,353.4,2536.07,En tránsito,14
52,2025-06-05,306,Buenos Aires,Córdoba,705.0,4877.09,En tránsito,12
53,2025-01-31,329,Bogotá,Buenos Aires,472.9,1891.9,Retrasado,9
54,2025-01-27,320,Monterrey,Ciudad de México,315.3,5341.82,Entregado,5
55,2026-07-07,330,Guadalajara,Ciudad de México,358.5,3623.16,En tránsito,6
56,2025-08-17,304,Ciudad de México,Monterrey,88.0,5930.09,Entregado,16
57,2026-03-27,315,Guadalajara,Córdoba,128.1,3651.36,Entregado,10
58,2025-05-12,316,Medellín,Lima,307.1,3276.72,Entregado,16
59,2025-07-20,316,Montevideo,Quito,120.0,3127.23,En tránsito,8
60,2026-02-18,322,Bogotá,Montevideo,268.5,3720.89,En tránsito,8
61,2025-11-05,309,Buenos Aires,San José,312.5,5845.82,Retrasado,5
62,2025-05-29,311,Guadalajara,Monterrey,550.6,5612.98,Entregado,13
63,2025-07-06,321,Ciudad de México,Santiago,14.1,3837.01,En tránsito,6
64,2026-08-09,313,Monterrey,Ciudad de México,457.0,5157.47,En tránsito,13
65,2025-09-27,315,Santiago,Medellín,518.8,777.49,Retrasado,17
66,2025-07-10,330,Monterrey,Montevideo,242.9,4857.37,Devuelto,18
67,2025-12-17,315,San José,Bogotá,725.2,1636.15,Retrasado,14
68,2025-05-10,321,Ciudad de México,Córdoba,90.3,5852.52,Entregado,4
69,2025-05-10,318,Montevideo,Lima,829.7,1897.62,Devuelto,18
70,2026-02-12,303,Córdoba,Buenos Aires,779.1,5322.9,En tránsito,5
71,2025-01-18,327,San José,Santiago,189.1,4488.01,En tránsito,17
72,2026-01-07,317,Ciudad de México,Córdoba,512.7,4186.67,En tránsito,12
73,2025-06-19,306,Bogotá,San José,603.3,5164.93,En tránsito,5
74,2025-07-27,318,Quito,Guadalajara,264.9,5757.62,Devuelto,10
75,2026-05-03,313,Córdoba,Guadalajara,444.9,885.83,Retrasado,1
76,2025-11-16,303,Lima,Córdoba,198.7,4422.09,Entregado,2
77,2025-05-28,325,Guadalajara,Buenos Aires,457.1,1028.7,En tránsito,13
78,2026-03-06,326,Buenos Aires,San José,371.8,1224.76,Retrasado,3
79,2026-02-16,308,Lima,Buenos Aires,117.7,4458.76,En tránsito,7
80,2025-10-10,315,Buenos Aires,San José,722.7,143.75,Entregado,17
81,2026-04-28,310,Córdoba,Bogotá,221.0,2674.57,Entregado,18
82,2025-06-07,324,Quito,Medellín,67.3,5875.64,Retrasado,9
83,2025-04-26,302,Guadalajara,Lima,595.7,2601.39,En tránsito,16
84,2026-06-20,325,Lima,Santiago,98.3,5985.82,Retrasado,8
85,2026-03-19,328,San José,Medellín,400.9,3857.31,Retrasado,9
86,2026-06-05,329,Lima,San José,312.7,4028.51,Retrasado,12
87,2026-05-13,303,Ciudad de México,Bogotá,231.0,3010.26,Devuelto,9
88,2026-07-29,304,Montevideo,Medellín,576.5,3428.47,Devuelto,2
89,2025-04-11,320,Bogotá,Quito,547.1,775.44,En tránsito,12
90,2026-03-08,319,San José,Quito,774.6,4332.27,Entregado,12
91,2026-08-11,321,Medellín,Montevideo,820.3,300.68,Devuelto,14
92,2026-08-04,322,Ciudad de México,Santiago,172.1,3812.69,Retrasado,4
93,2026-04-13,310,Guadalajara,Ciudad de México,807.0,1580.8,Retrasado,12
94,2025-02-18,308,Lima,Medellín,308.6,4218.7,Retrasado,6
95,2025-11-26,307,Córdoba,Montevideo,703.8,4539.65,En tránsito,16
