transportista_id,nombre_transportista,tipo,tamano_flota,calificacion
301,Transportes López,Marítimo,24,3.4
302,Transportes Rivera,Terrestre,119,3.1
303,Transportes Romero,Terrestre,36,2.7
304,Transportes Martínez,Aéreo,118,4.3
305,Transportes Ramírez,Aéreo,46,3.2
306,Transportes Castro,Aéreo,103,3.6
307,Transportes Torres,Marítimo,38,4.0
308,Transportes González,Terrestre,69,3.2
309,Transportes Ramírez,Aéreo,75,3.4
310,Transportes Flores,Aéreo,94,2.9
311,Transportes Flores,Aéreo,94,3.6
312,Transportes Flores,Terrestre,98,4.5
313,Transportes González,Terrestre,80,3.2
314,Transportes Díaz,Aéreo,84,3.1
315,Transportes Sánchez,Marítimo,41,2.9
316,Transportes García,Aéreo,49,4.3
317,Transportes Herrera,Aéreo,64,4.0
318,Transportes Pérez,Aéreo,85,2.9
319,Transportes Herrera,Aéreo,69,3.4
320,Transportes Romero,Marítimo,24,4.7
321,Transportes Romero,Terrestre,64,4.7
322,Transportes García,Marítimo,11,3.4
323,Transportes Flores,Terrestre,31,2.9
324,Transportes López,Marítimo,28,3.4
325,Transportes Castro,Marítimo,119,4.1
326,Transportes García,Marítimo,111,4.5
327,Transportes Herrera,Terrestre,97,3.0
328,Transportes Rodríguez,Aéreo,83,2.7
329,Transportes Rivera,Marítimo,11,3.2
330,Transportes Medina,Marítimo,71,4.7
