producto_id,nombre_producto,categoria,marca,precio_unitario,proveedor
1,Electrónica modelo 001,Electrónica,Samsung,2575.74,Importadora Sur
2,Electrónica modelo 002,Electrónica,Samsung,1136.37,Distribuidora Andina
3,Electrónica modelo 003,Electrónica,Sony,2959.06,Importadora Sur
4,Electrónica modelo 004,Electrónica,Samsung,3574.11,Importadora Sur
5,Electrónica modelo 005,Electrónica,Samsung,1716.59,Distribuidora Andina
6,Electrónica modelo 006,Electrónica,Sony,913.62,Importadora Sur
7,Electrónica modelo 007,Electrónica,Samsung,154.82,Importadora Sur
8,Electrónica modelo 008,Electrónica,Sony,2617.04,Mayorista LATAM
9,Hogar modelo 009,Hogar,Oster,920.74,Mayorista LATAM
10,Hogar modelo 010,Hogar,Mabe,3247.25,Distribuidora Andina
11,Hogar modelo 011,Hogar,Whirlpool,2807.65,Mayorista LATAM
12,Hogar modelo 012,Hogar,Whirlpool,664.14,Distribuidora Andina
13,Hogar modelo 013,Hogar,Mabe,416.35,Mayorista LATAM
14,Hogar modelo 014,Hogar,Oster,3397.6,Mayorista LATAM
15,Hogar modelo 015,Hogar,Oster,3238.16,Mayorista LATAM
16,Hogar modelo 016,Hogar,Whirlpool,2168.1,Distribuidora Andina
17,Alimentos modelo 017,Alimentos,Arcor,2230.56,Importadora Sur
18,Alimentos modelo 018,Alimentos,Bimbo,3547.53,Importadora Sur
19,Alimentos modelo 019,Alimentos,Nestlé,809.54,Distribuidora Andina
20,Alimentos modelo 020,Alimentos,Bimbo,2661.99,Distribuidora Andina
21,Alimentos modelo 021,Alimentos,Nestlé,3428.5,Mayorista LATAM
22,Alimentos modelo 022,Alimentos,Arcor,1148.0,Mayorista LATAM
23,Alimentos modelo 023,Alimentos,Bimbo,692.48,Distribuidora Andina
24,Alimentos modelo 024,Alimentos,Arcor,2697.19,Importadora Sur
25,Ropa modelo 025,Ropa,Levis,2609.74,Importadora Sur
26,Ropa modelo 026,Ropa,Levis,726.0,Distribuidora Andina
27,Ropa modelo 027,Ropa,H&M,695.44,Mayorista LATAM
28,Ropa modelo 028,Ropa,Levis,3958.62,Importadora Sur
29,Ropa modelo 029,Ropa,Levis,2249.95,Mayorista LATAM
30,Ropa modelo 030,Ropa,Zara,3379.27,Distribuidora Andina
31,Ropa modelo 031,Ropa,H&M,3296.12,Mayorista LATAM
32,Ropa modelo 032,Ropa,Zara,1107.58,Importadora Sur
33,Belleza modelo 033,Belleza,Natura,3511.65,Distribuidora Andina
34,Belleza modelo 034,Belleza,Natura,2638.98,Importadora Sur
35,Belleza modelo 035,Belleza,Natura,1862.46,Distribuidora Andina
36,Belleza modelo 036,Belleza,Avon,1024.18,Importadora Sur
37,Belleza modelo 037,Belleza,Avon,1087.83,Mayorista LATAM
38,Belleza modelo 038,Belleza,Natura,3596.4,Mayorista LATAM
39,Belleza modelo 039,Belleza,L'Oréal,916.32,Importadora Sur
40,Belleza modelo 040,Belleza,L'Oréal,1999.39,Distribuidora Andina
