venta_id,fecha,tienda,ciudad,producto_id,cantidad,monto_total,medio_pago
1,2025-06-13,Sucursal Plaza,Quito,10,6,19483.5,Tarjeta crédito
2,2026-04-25,Sucursal Online,Lima,25,4,10438.96,Tarjeta crédito
3,2026-07-04,Sucursal Sur,San José,8,6,15702.24,Efectivo
4,2026-03-22,Sucursal Norte,Medellín,8,3,7851.12,Tarjeta crédito
5,2025-07-02,Sucursal Online,Bogotá,17,5,11152.8,Efectivo
6,2025-07-23,Sucursal Norte,Monterrey,33,5,17558.25,Tarjeta débito
7,2025-01-01,Sucursal Online,Monterrey,35,5,9312.3,Transferencia
8,2026-01-07,Sucursal Sur,Santiago,2,1,1136.37,Tarjeta crédito
9,2025-03-22,Sucursal Centro,Montevideo,16,5,10840.5,Transferencia
10,2025-05-09,Sucursal Norte,San José,5,5,8582.95,Transferencia
11,2025-09-29,Sucursal Online,Quito,36,2,2048.36,Transferencia
12,2025-07-25,Sucursal Sur,Guadalajara,14,5,16988.0,Efectivo
13,2026-04-08,Sucursal Centro,Santiago,29,5,11249.75,Tarjeta débito
14,2025-01-22,Sucursal Online,Córdoba,5,3,5149.77,Tarjeta débito
15,2025-01-08,Sucursal Centro,Montevideo,38,2,7192.8,Tarjeta crédito
16,2025-02-02,Sucursal Sur,Bogotá,15,1,3238.16,Tarjeta débito
17,2026-05-13,Sucursal Norte,Córdoba,18,6,21285.18,Tarjeta débito
18,2026-04-30,Sucursal Norte,Medellín,37,5,5439.15,Transferencia
19,2025-04-10,Sucursal Plaza,Monterrey,13,1,416.35,Transferencia
20,2025-02-25,Sucursal Centro,Ciudad de México,27,4,2781.76,Transferencia
21,2025-09-12,Sucursal Norte,Santiago,22,1,1148.0,Transferencia
22,2025-07-07,Sucursal Sur,Medellín,9,4,3682.96,Tarjeta débito
23,2026-07-18,Sucursal Centro,Ciudad de México,5,4,6866.36,Tarjeta crédito
24,2025-06-20,Sucursal Plaza,Medellín,6,2,1827.24,Transferencia
25,2025-03-02,Sucursal Norte,Guadalajara,14,4,13590.4,Tarjeta crédito
26,2026-04-11,Sucursal Sur,Guadalajara,25,3,7829.22,Transferencia
27,2025-10-31,Sucursal Norte,Ciudad de México,10,2,6494.5,Tarjeta crédito
28,2025-02-21,Sucursal Online,Medellín,21,1,3428.5,Tarjeta débito
29,2025-03-24,Sucursal Norte,Bogotá,4,5,17870.55,Tarjeta crédito
30,2025-05-03,Sucursal Online,Santiago,16,4,8672.4,Tarjeta crédito
31,2026-03-06,Sucursal Online,Quito,40,1,1999.39,Efectivo
32,2025-11-18,Sucursal Norte,Lima,17,2,4461.12,Transferencia
33,2025-11-04,Sucursal Plaza,Monterrey,9,6,5524.44,Tarjeta crédito
34,2026-07-31,Sucursal Centro,Bogotá,1,4,10302.96,Tarjeta débito
35,2025-05-16,Sucursal Sur,Bogotá,33,3,10534.95,Tarjeta débito
36,2025-06-11,Sucursal Plaza,Córdoba,24,3,8091.57,Efectivo
37,2026-06-26,Sucursal Centro,San José,40,6,11996.34,Efectivo
38,2025-09-28,Sucursal Centro,Bogotá,7,2,309.64,Tarjeta débito
39,2025-08-04,Sucursal Sur,Santiago,18,3,10642.59,Efectivo
40,2025-09-15,Sucursal Centro,Bogotá,33,4,14046.6,Transferencia
41,2025-01-04,Sucursal Sur,Buenos Aires,18,1,3547.53,Efectivo
42,2026-03-29,Sucursal Online,Montevideo,11,6,16845.9,Transferencia
43,2025-04-25,Sucursal Centro,Montevideo,36,1,1024.18,Tarjeta débito
44,2026-01-14,Sucursal Online,Córdoba,35,1,1862.46,Tarjeta débito
45,2025-02-12,Sucursal Sur,Monterrey,28,2,7917.24,Tarjeta crédito
46,2025-09-13,Sucursal Centro,Monterrey,23,2,1384.96,Transferencia
47,2025-06-08,Sucursal Norte,Buenos Aires,40,6,11996.34,Tarjeta débito
48,2025-07-03,Sucursal Sur,Guadalajara,27,1,695.44,Tarjeta débito
49,2025-04-21,Sucursal Plaza,Ciudad de México,18,2,7095.06,Transferencia
50,2026-04-17,Sucursal Sur,Lima,15,2,6476.32,Tarjeta débito
51,2025-07-17,Sucursal Plaza,Monterrey,15,1,3238.16,Efectivo
52,2025-12-26,Sucursal Online,Guadalajara,5,3,5149.77,Efectivo
53,2025-09-25,Sucursal Norte,Quito,2,1,1136.37,Efectivo
54,2026-03-21,Sucursal Sur,Montevideo,3,1,2959.06,Efectivo
55,2026-06-08,Sucursal Centro,Guadalajara,28,5,19793.1,Tarjeta débito
56,2026-03-23,Sucursal Centro,Córdoba,17,1,2230.56,Tarjeta débito
57,2025-03-13,Sucursal Sur,Quito,24,4,10788.76,Efectivo
58,2025-11-04,Sucursal Online,Lima,8,6,15702.24,Transferencia
59,2025-10-30,Sucursal Online,Buenos Aires,21,4,13714.0,Tarjeta débito
60,2026-01-24,Sucursal Norte,Quito,27,6,4172.64,Efectivo
