registro_id,fecha,suscriptor_id,tipo_servicio,unidades,cargo
1,2026-07-18,5028,SMS,282,29.0
2,2025-06-21,5076,Datos,15197,246.54
3,2025-02-21,5013,Datos,16934,262.77
4,2025-03-10,5044,Voz,491,191.85
5,2026-05-07,5049,SMS,298,314.78
6,2025-04-09,5066,Datos,10191,348.4
7,2025-02-25,5018,Voz,489,62.58
8,2025-08-23,5028,SMS,66,47.78
9,2025-10-13,5020,Voz,259,170.8
10,2025-04-23,5036,SMS,269,23.58
11,2025-01-14,5047,SMS,65,45.09
12,2025-08-13,5082,Voz,52,298.41
13,2025-05-11,5017,SMS,184,243.56
14,2025-05-14,5014,Voz,382,176.42
15,2026-02-10,5054,Datos,13342,69.37
16,2026-03-27,5088,Voz,353,160.19
17,2025-08-18,5046,Datos,3145,46.64
18,2026-03-02,5010,SMS,46,239.08
19,2026-01-23,5088,SMS,153,302.88
20,2025-05-03,5006,Voz,597,330.47
21,2025-03-10,5004,Datos,17735,217.22
22,2025-07-27,5051,Voz,155,328.64
23,2026-01-11,5054,Datos,16420,142.35
24,2026-01-28,5048,Datos,15090,82.24
25,2026-02-08,5051,Voz,87,127.04
26,2025-11-04,5008,Datos,9403,229.78
27,2025-07-13,5057,Datos,6434,251.19
28,2026-01-21,5073,Datos,280,58.96
29,2026-03-21,5025,Voz,173,308.78
30,2025-08-10,5016,Voz,303,275.15
31,2025-09-30,5086,Voz,352,235.89
32,2026-07-01,5013,SMS,21,257.37
33,2025-09-03,5077,SMS,76,253.66
34,2025-08-14,5011,SMS,135,70.75
35,2025-07-11,5044,Voz,138,311.19
36,2025-08-19,5086,Voz,374,86.31
37,2026-01-10,5026,Voz,247,296.99
38,2025-10-01,5068,Datos,918,129.74
39,2026-05-27,5060,SMS,138,116.12
40,2026-01-05,5059,Datos,10994,338.49
41,2026-02-07,5056,Datos,15473,135.64
42,2025-08-02,5077,SMS,221,317.13
43,2026-01-14,5017,Voz,182,8.23
44,2026-06-05,5090,Voz,587,31.09
45,2025-11-27,5044,Voz,409,275.39
46,2026-04-03,5048,SMS,155,64.01
47,2025-09-03,5031,Voz,465,129.1
48,2025-05-06,5076,Voz,273,326.63
49,2025-07-20,5037,Voz,272,87.11
50,2025-11-13,5021,Datos,9864,75.12
51,2026-04-14,5008,Datos,13522,79.49
52,2026-05-23,5088,Voz,31,329.08
53,2026-01-13,5046,Voz,146,255.6
54,2025-06-10,5058,Voz,571,73.59
55,2026-04-17,5085,Datos,14187,91.29
56,2026-05-25,5088,SMS,58,68.3
57,2025-12-16,5021,SMS,211,306.42
58,2025-05-16,5019,Voz,456,202.27
59,2025-07-19,5052,SMS,97,164.08
60,2025-06-06,5015,Datos,1529,284.88
61,2026-06-16,5069,Voz,26,230.57
62,2025-07-02,5006,Voz,26,255.46
63,2025-07-19,5009,Datos,10479,42.41
64,2025-05-07,5004,SMS,294,269.35
65,2025-06-18,5028,Datos,2846,318.0
66,2025-12-26,5026,Voz,203,248.36
67,2026-08-13,5067,Datos,878,254.33
68,2025-12-27,5063,Voz,353,289.62
69,2025-06-23,5085,SMS,76,53.2
70,2025-06-28,5089,Datos,6230,1.0
71,2025-05-13,5047,Datos,11602,79.71
72,2026-04-26,5055,Voz,520,139.29
73,2025-07-11,5007,SMS,262,136.49
74,2026-01-26,5064,Voz,518,13.98
75,2025-04-13,5002,Datos,5111,124.3
76,2025-04-02,5071,Voz,572,337.3
77,2025-09-22,5064,SMS,274,272.88
78,2025-05-15,5062,Voz,333,51.23
79,2026-06-05,5028,SMS,83,6.4
80,2025-12-21,5014,SMS,79,196.29
81,2025-07-02,5086,SMS,95,257.12
82,2025-12-12,5046,Datos,12355,74.27
83,2025-09-08,5084,Voz,399,23.8
84,2026-02-11,5083,Voz,545,239.44
85,2026-05-13,5063,Datos,7744,234.32
86,2025-11-28,5030,SMS,288,52.4
87,2026-02-15,5085,Voz,226,231.55
88,2026-04-30,5066,Datos,7512,230.07
